RandomAbilityGroup_ID,RandomAbilityGroup,TowerType
201001,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200014]",0
201002,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200014]",0
201003,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013]",0
201004,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200014]",0
201005,"[200001,200002,200003,200004,200005,200006,200007,200009,200010,200011,200012,200014]",0
201006,"[200001,200002,200003,200004,200005,200006,200007,200008,200010,200011,200012,200015]",0
201007,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201008,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200012,200013,200014,200015,200017]",1
201009,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201010,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201011,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200012,200013,200014,200017]",1
201012,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201013,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201014,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201015,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
201016,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200015,200017]",1
201017,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200012,200013,200014,200016,200017]",1
201018,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200012,200013,200014,200017]",1
201019,"[200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200013,200014,200017]",1
